name,article,total
"Мармелад жев.""Подсахаренные пластинки Кола"" 1,",5351690003,4
"Мармелад жев.""Подсахаренные пластинки Малина"" 1,",5351690004,4
"Мармелад жев.""Подсахаренные пластинки Фантазия"" 1,",5351690002,4
"Мармелад жев.""Подсахаренные пластинки Яблоко"" 1,",5351690005,2
"Мармелад жев.""Спагеттини микс в сахаре"" 1,",5421690001,2
"Мармелад жев.""Фруктовая атака""",7320010084,4
"Мармелад жев.""Черепа с начинкой""",5090010028,10
"Мармелад жев.""Черепашки""",5020010014,8
"Мармелад жев.""Яблоко в сахаре""",5030010010,4
"Мармелад жев.""Ягоды голубые в обсыпке"" 1,",5100050004,4
"Мармелад жев.""Ягоды разноцветные в обсыпке"" 1,",5100050007,4
Морская звезда,142000521,8
Осьминоги,111000521,8
"Суфле ""Дольки Ассорти"" (арбуз",AG-B/5012,2
"Суфле ""Ежевика"" с нач. (пакет)",AG-B/3164,4
"Суфле ""Клубника розовая с начинкой"" (пакет)",AG-B/3802,4
"Суфле ""Малина"" с начинкой (пакет)",AG-B/3146,4
"Суфле ""Маргаритки"" 0, (пакет)",AG-B/3350,2
"Суфле ""Мишка розовый"" 0, (пакет)",AG-B/3127,5.8
"Суфле ""Мороженное 12гр"" (розово-желтое) 0, (пакет)",AG-B/3102,4
"Суфле ""Персик с начинкой"" (пакет)",AG-B/3130,8
"Суфле «Палочки спирали разноцветные» 0,",5600150041,2
кольца жевачка,RA3692,6
